model_id,iuid,weight
192547,CN_20_001050,0.134000
192547,CN_20_001469,0.027000
192547,CN_20_003358,0.150000
192547,CN_20_003745,0.036000
192547,CN_20_110007,0.081000
192547,CN_20_110022,0.036000
192547,CN_20_110030,0.202000
192547,CN_20_202307,0.060000
192548,CN_20_000205,0.229000
192548,CN_20_000711,0.026000
192548,CN_20_001050,0.134000
192548,CN_20_001469,0.027000
192548,CN_20_003358,0.150000
192548,CN_20_003745,0.032000
192548,CN_20_110007,0.081000
192548,CN_20_110022,0.059000
192548,CN_20_110030,0.202000
192548,CN_20_202307,0.060000
192549,CN_20_000205,0.229000
192549,CN_20_000711,0.027000
192549,CN_20_001050,0.134000
192549,CN_20_001469,0.045000
192549,CN_20_003358,0.150000
192549,CN_20_003745,0.036000
192549,CN_20_110007,0.081000
192549,CN_20_110022,0.036000
192549,CN_20_110030,0.202000
192549,CN_20_202307,0.060000
192550,CN_20_000205,0.230000
192550,CN_20_000711,0.026000
192550,CN_20_001050,0.134000
192550,CN_20_001469,0.027000
192550,CN_20_003358,0.150000
192550,CN_20_003745,0.058000
192550,CN_20_110007,0.081000
192550,CN_20_110022,0.032000
192550,CN_20_110030,0.202000
192550,CN_20_202307,0.060000
192551,CN_20_000205,0.219000
192551,CN_20_000711,0.027000
192551,CN_20_001050,0.140000
192551,CN_20_001469,0.027000
192551,CN_20_003358,0.143000
192551,CN_20_003745,0.048000
192551,CN_20_110007,0.079000
192551,CN_20_110022,0.048000
192551,CN_20_110030,0.210000
192551,CN_20_202307,0.059000
192552,CN_20_000205,0.219000
192552,CN_20_000711,0.045000
192552,CN_20_001050,0.140000
192552,CN_20_001469,0.027000
192552,CN_20_003358,0.143000
192552,CN_20_003745,0.039000
192552,CN_20_110007,0.079000
192552,CN_20_110022,0.039000
192552,CN_20_110030,0.210000
192552,CN_20_202307,0.059000
192553,CN_20_000205,0.219000
192553,CN_20_000711,0.027000
192553,CN_20_001050,0.140000
192553,CN_20_001469,0.027000
192553,CN_20_003358,0.143000
192553,CN_20_003745,0.034000
192553,CN_20_110007,0.079000
192553,CN_20_110022,0.062000
192553,CN_20_110030,0.210000
192553,CN_20_202307,0.059000
192554,CN_20_000205,0.219000
192554,CN_20_000711,0.027000
192554,CN_20_001050,0.140000
