dist_key,dist_type,dist_value,model_id
Consumer Cyclical,300,14.060000,193682
Investment Grade Bond,500,96.840000,193682
High Yield Bond,500,3.160000,193682
Others,200,7.660000,193663
USA,200,39.730000,193663
Singapore,200,1.060000,193663
Hong Kong,200,1.730000,193663
Japan,200,8.020000,193663
Philippines,200,1.070000,193663
Thailand,200,0.880000,193663
Switzerland,200,0.810000,193663
India,200,0.790000,193663
Spain,200,3.390000,193663
Canada,200,2.180000,193663
Netherlands,200,0.440000,193663
South Korea,200,2.480000,193663
China,200,8.670000,193663
UK,200,4.760000,193663
Italy,200,2.390000,193663
Mexico,200,0.380000,193663
France,200,2.420000,193663
Australia,200,2.520000,193663
Germany,200,6.570000,193663
Indonesia,200,2.050000,193663
Communication Services,300,12.190000,193663
Utilities,300,1.430000,193663
Financial Services,300,14.100000,193663
Basic Materials,300,2.710000,193663
Energy,300,1.680000,193663
Technology,300,21.200000,193663
Real Estate,300,0.580000,193663
Healthcare,300,18.530000,193663
Consumer Defensive,300,5.820000,193663
Industrials,300,7.700000,193663
Consumer Cyclical,300,14.060000,193663
Investment Grade Bond,500,96.840000,193663
High Yield Bond,500,3.160000,193663
Others,200,7.660000,193668
USA,200,39.730000,193668
Singapore,200,1.060000,193668
Hong Kong,200,1.730000,193668
Japan,200,8.020000,193668
Philippines,200,1.070000,193668
Thailand,200,0.880000,193668
Switzerland,200,0.810000,193668
India,200,0.790000,193668
Spain,200,3.390000,193668
Canada,200,2.180000,193668
Netherlands,200,0.440000,193668
South Korea,200,2.480000,193668
China,200,8.670000,193668
UK,200,4.760000,193668
Italy,200,2.390000,193668
Mexico,200,0.380000,193668
France,200,2.420000,193668
Australia,200,2.520000,193668
Germany,200,6.570000,193668
Indonesia,200,2.050000,193668
Communication Services,300,12.190000,193668
Utilities,300,1.430000,193668
Financial Services,300,14.100000,193668
Basic Materials,300,2.710000,193668
Energy,300,1.680000,193668
Technology,300,21.200000,193668
Real Estate,300,0.580000,193668
Healthcare,300,18.530000,193668
Consumer Defensive,300,5.820000,193668
Industrials,300,7.700000,193668
Consumer Cyclical,300,14.060000,193668
Investment Grade Bond,500,96.840000,193668
High Yield Bond,500,3.160000,193668
Others,200,7.660000,193673
USA,200,39.730000,193673
Singapore,200,1.060000,193673
Hong Kong,200,1.730000,193673
Japan,200,8.020000,193673
Philippines,200,1.070000,193673
Thailand,200,0.880000,193673
Switzerland,200,0.810000,193673
India,200,0.790000,193673
Spain,200,3.390000,193673
Canada,200,2.180000,193673
Netherlands,200,0.440000,193673
South Korea,200,2.480000,193673
China,200,8.670000,193673
UK,200,4.760000,193673
Italy,200,2.390000,193673
Mexico,200,0.380000,193673
France,200,2.420000,193673
Australia,200,2.520000,193673
Germany,200,6.570000,193673
Indonesia,200,2.050000,193673
Communication Services,300,12.190000,193673
Utilities,300,1.430000,193673
Financial Services,300,14.100000,193673
Basic Materials,300,2.710000,193673
Energy,300,1.680000,193673
Technology,300,21.200000,193673
Real Estate,300,0.580000,193673
Healthcare,300,18.530000,193673
Consumer Defensive,300,5.820000,193673
Industrials,300,7.700000,193673
Consumer Cyclical,300,14.060000,193673
Investment Grade Bond,500,96.840000,193673
High Yield Bond,500,3.160000,193673
Others,200,7.660000,193678
USA,200,39.730000,193678
Singapore,200,1.060000,193678
Hong Kong,200,1.730000,193678
Japan,200,8.020000,193678
Philippines,200,1.070000,193678
Thailand,200,0.880000,193678
Switzerland,200,0.810000,193678
India,200,0.790000,193678
Spain,200,3.390000,193678
Canada,200,2.180000,193678
Netherlands,200,0.440000,193678
South Korea,200,2.480000,193678
China,200,8.670000,193678
UK,200,4.760000,193678
Italy,200,2.390000,193678
Mexico,200,0.380000,193678
France,200,2.420000,193678
Australia,200,2.520000,193678
Germany,200,6.570000,193678
Indonesia,200,2.050000,193678
Communication Services,300,12.190000,193678
Utilities,300,1.430000,193678
Financial Services,300,14.100000,193678
Basic Materials,300,2.710000,193678
Energy,300,1.680000,193678
Technology,300,21.200000,193678
Real Estate,300,0.580000,193678
Healthcare,300,18.530000,193678
Consumer Defensive,300,5.820000,193678
Industrials,300,7.700000,193678
Consumer Cyclical,300,14.060000,193678
Investment Grade Bond,500,96.840000,193678
High Yield Bond,500,3.160000,193678
Others,200,7.660000,193683
USA,200,39.730000,193683
Singapore,200,1.060000,193683
Hong Kong,200,1.730000,193683
Japan,200,8.020000,193683
Philippines,200,1.070000,193683
Thailand,200,0.880000,193683
Switzerland,200,0.810000,193683
India,200,0.790000,193683
Spain,200,3.390000,193683
Canada,200,2.180000,193683
Netherlands,200,0.440000,193683
South Korea,200,2.480000,193683
China,200,8.670000,193683
UK,200,4.760000,193683
Italy,200,2.390000,193683
Mexico,200,0.380000,193683
France,200,2.420000,193683
Australia,200,2.520000,193683
Germany,200,6.570000,193683
Indonesia,200,2.050000,193683
Communication Services,300,12.190000,193683
Utilities,300,1.430000,193683
Financial Services,300,14.100000,193683
Basic Materials,300,2.710000,193683
Energy,300,1.680000,193683
Technology,300,21.200000,193683
Real Estate,300,0.580000,193683
Healthcare,300,18.530000,193683
Consumer Defensive,300,5.820000,193683
Industrials,300,7.700000,193683
Consumer Cyclical,300,14.060000,193683
Investment Grade Bond,500,96.840000,193683
High Yield Bond,500,3.160000,193683
Others,200,7.290000,193684
USA,200,42.560000,193684
Singapore,200,1.000000,193684
Hong Kong,200,1.620000,193684
Japan,200,7.720000,193684
Philippines,200,0.990000,193684
Thailand,200,0.830000,193684
Switzerland,200,0.870000,193684
India,200,0.770000,193684
Spain,200,3.190000,193684
Canada,200,2.020000,193684
Netherlands,200,0.500000,193684
South Korea,200,2.360000,193684
China,200,8.260000,193684
UK,200,4.570000,193684
Italy,200,2.240000,193684
Mexico,200,0.350000,193684
France,200,2.360000,193684
Australia,200,2.370000,193684
Germany,200,6.220000,193684
Indonesia,200,1.910000,193684
Communication Services,300,12.420000,193684
Utilities,300,1.460000,193684
Financial Services,300,12.460000,193684
Basic Materials,300,2.770000,193684
Energy,300,1.710000,193684
Technology,300,21.600000,193684
Real Estate,300,0.590000,193684
Healthcare,300,18.880000,193684
Consumer Defensive,300,5.930000,193684
Industrials,300,7.850000,193684
Consumer Cyclical,300,14.330000,193684
Investment Grade Bond,500,96.840000,193684
High Yield Bond,500,3.160000,193684
Others,200,7.290000,193689
USA,200,42.560000,193689
Singapore,200,1.000000,193689
Hong Kong,200,1.620000,193689
Japan,200,7.720000,193689
Philippines,200,0.990000,193689
Thailand,200,0.830000,193689
Switzerland,200,0.870000,193689
India,200,0.770000,193689
Spain,200,3.190000,193689
Canada,200,2.020000,193689
Netherlands,200,0.500000,193689
South Korea,200,2.360000,193689
China,200,8.260000,193689
UK,200,4.570000,193689
Italy,200,2.240000,193689
Mexico,200,0.350000,193689
France,200,2.360000,193689
Australia,200,2.370000,193689
Germany,200,6.220000,193689
Indonesia,200,1.910000,193689
Communication Services,300,12.420000,193689
Utilities,300,1.460000,193689
Financial Services,300,12.460000,193689
Basic Materials,300,2.770000,193689
Energy,300,1.710000,193689
Technology,300,21.600000,193689
Real Estate,300,0.590000,193689
Healthcare,300,18.880000,193689
Consumer Defensive,300,5.930000,193689
Industrials,300,7.850000,193689
Consumer Cyclical,300,14.330000,193689
Investment Grade Bond,500,96.840000,193689
High Yield Bond,500,3.160000,193689
Others,200,7.290000,193694
