model_id,iuid,weight
2052684,HK_20_F0GBR04D2K,0.115200
2052684,HK_20_F0GBR053DP,0.025000
2052684,HK_20_F0GBR04AGE,0.081200
2052684,HK_20_F0000147JJ,0.227700
2052684,HK_20_F00000MC3V,0.107700
2052684,HK_20_F0GBR04MRX,0.237300
2052684,HK_20_F00000JP5X,0.025000
2052685,HK_20_0P0000VHMZ,0.159100
2052685,HK_20_F0HKG05BUU,0.021800
2052685,HK_20_F00000TX82,0.025000
2052685,HK_20_F0GBR04D2K,0.115200
2052685,HK_20_F0GBR04AGE,0.081200
2052685,HK_20_F0000147JJ,0.227700
2052685,HK_20_F00000MC3V,0.107700
2052685,HK_20_F0GBR04MRX,0.237300
2052685,HK_20_F00000JP5X,0.025000
2052686,HK_20_0P0000VHMZ,0.159100
2052686,HK_20_F0HKG05BUU,0.021800
2052686,HK_20_F0GBR04D2K,0.115200
2052686,HK_20_F00000VTAH,0.025000
2052686,HK_20_F0GBR04AGE,0.081200
2052686,HK_20_F0000147JJ,0.227700
2052686,HK_20_F00000MC3V,0.107700
2052686,HK_20_F0GBR04MRX,0.237300
2052686,HK_20_F00000JP5X,0.025000
2052687,HK_20_0P0000VHMZ,0.159100
2052687,HK_20_F0HKG05BUU,0.030000
2052687,HK_20_F0GBR04D2K,0.115200
2052687,HK_20_F0GBR04AGE,0.075500
2052687,HK_20_F0000147JJ,0.227700
2052687,HK_20_F00000MC3V,0.107700
2052687,HK_20_F0GBR04MRX,0.237300
2052687,HK_20_F00000JP5X,0.047500
2052688,HK_20_0P0000VHMZ,0.159100
2052688,HK_20_F0HKG05BUU,0.030000
2052688,HK_20_F0GBR04D2K,0.115200
2052688,HK_20_F0GBR04AGE,0.056200
2052688,HK_20_F0000147JJ,0.227700
2052688,HK_20_F00000MC3V,0.107700
2052688,HK_20_F0GBR04MRX,0.237300
2052688,HK_20_F0GBR053E5,0.025000
2052688,HK_20_F00000JP5X,0.041800
2052689,HK_20_0P0000VHMZ,0.159100
2052689,HK_20_F0HKG05BUU,0.030000
2052689,HK_20_F0GBR04D2K,0.115200
2052689,HK_20_F0GBR053DP,0.025000
2052689,HK_20_F0GBR04AGE,0.056200
2052689,HK_20_F0000147JJ,0.227700
2052689,HK_20_F00000MC3V,0.107700
2052689,HK_20_F0GBR04MRX,0.237300
2052689,HK_20_F00000JP5X,0.041800
2052690,HK_20_0P0000VHMZ,0.159100
2052690,HK_20_F0HKG05BUU,0.030000
2052690,HK_20_F00000TX82,0.025000
2052690,HK_20_F0GBR04D2K,0.115200
2052690,HK_20_F0GBR04AGE,0.056200
2052690,HK_20_F0000147JJ,0.227700
2052690,HK_20_F00000MC3V,0.107700
2052690,HK_20_F0GBR04MRX,0.237300
2052690,HK_20_F00000JP5X,0.041800
2052691,HK_20_0P0000VHMZ,0.159100
2052691,HK_20_F0HKG05BUU,0.030000
2052691,HK_20_F0GBR04D2K,0.115200
2052691,HK_20_F00000VTAH,0.025000
2052691,HK_20_F0GBR04AGE,0.056200
2052691,HK_20_F0000147JJ,0.227700
