dist_key,dist_type,dist_value,model_id
Financial Services,300,18.350000,2052192
Communication Services,300,12.220000,2052192
Utilities,300,1.070000,2052192
Basic Materials,300,1.850000,2052192
Energy,300,5.260000,2052192
Technology,300,17.940000,2052192
Real Estate,300,0.380000,2052192
Healthcare,300,12.420000,2052192
Consumer Defensive,300,5.710000,2052192
Industrials,300,10.410000,2052192
Consumer Cyclical,300,14.390000,2052192
Investment Grade Bond,500,91.520000,2052192
High Yield Bond,500,8.480000,2052192
USA,200,27.960000,2052193
Others,200,8.050000,2052193
Singapore,200,0.990000,2052193
Hong Kong,200,3.670000,2052193
Japan,200,6.720000,2052193
Philippines,200,1.610000,2052193
Thailand,200,1.390000,2052193
Switzerland,200,0.480000,2052193
India,200,2.230000,2052193
Spain,200,1.090000,2052193
Canada,200,2.110000,2052193
Netherlands,200,0.220000,2052193
South Korea,200,3.310000,2052193
China,200,20.020000,2052193
UK,200,3.130000,2052193
Italy,200,4.150000,2052193
Mexico,200,0.740000,2052193
France,200,3.120000,2052193
Australia,200,2.760000,2052193
Germany,200,3.880000,2052193
Indonesia,200,2.370000,2052193
Financial Services,300,18.350000,2052193
Communication Services,300,12.220000,2052193
Utilities,300,1.070000,2052193
Basic Materials,300,1.850000,2052193
Energy,300,5.260000,2052193
Technology,300,17.940000,2052193
Real Estate,300,0.380000,2052193
Healthcare,300,12.420000,2052193
Consumer Defensive,300,5.710000,2052193
Industrials,300,10.410000,2052193
Consumer Cyclical,300,14.390000,2052193
Investment Grade Bond,500,91.520000,2052193
High Yield Bond,500,8.480000,2052193
USA,200,27.960000,2052194
Others,200,8.050000,2052194
Singapore,200,0.990000,2052194
Hong Kong,200,3.670000,2052194
Japan,200,6.720000,2052194
Philippines,200,1.610000,2052194
Thailand,200,1.390000,2052194
Switzerland,200,0.480000,2052194
India,200,2.230000,2052194
Spain,200,1.090000,2052194
Canada,200,2.110000,2052194
Netherlands,200,0.220000,2052194
South Korea,200,3.310000,2052194
China,200,20.020000,2052194
UK,200,3.130000,2052194
Italy,200,4.150000,2052194
Mexico,200,0.740000,2052194
France,200,3.120000,2052194
Australia,200,2.760000,2052194
Germany,200,3.880000,2052194
Indonesia,200,2.370000,2052194
Financial Services,300,18.350000,2052194
Communication Services,300,12.220000,2052194
Utilities,300,1.070000,2052194
Basic Materials,300,1.850000,2052194
Energy,300,5.260000,2052194
Technology,300,17.940000,2052194
Real Estate,300,0.380000,2052194
Healthcare,300,12.420000,2052194
Consumer Defensive,300,5.710000,2052194
Industrials,300,10.410000,2052194
Consumer Cyclical,300,14.390000,2052194
Investment Grade Bond,500,91.520000,2052194
High Yield Bond,500,8.480000,2052194
USA,200,27.960000,2052195
Others,200,8.050000,2052195
Singapore,200,0.990000,2052195
Hong Kong,200,3.670000,2052195
Japan,200,6.720000,2052195
Philippines,200,1.610000,2052195
Thailand,200,1.390000,2052195
Switzerland,200,0.480000,2052195
India,200,2.230000,2052195
Spain,200,1.090000,2052195
Canada,200,2.110000,2052195
Netherlands,200,0.220000,2052195
South Korea,200,3.310000,2052195
China,200,20.020000,2052195
UK,200,3.130000,2052195
Italy,200,4.150000,2052195
Mexico,200,0.740000,2052195
France,200,3.120000,2052195
Australia,200,2.760000,2052195
Germany,200,3.880000,2052195
Indonesia,200,2.370000,2052195
Financial Services,300,18.350000,2052195
Communication Services,300,12.220000,2052195
Utilities,300,1.070000,2052195
Basic Materials,300,1.850000,2052195
Energy,300,5.260000,2052195
Technology,300,17.940000,2052195
Real Estate,300,0.380000,2052195
Healthcare,300,12.420000,2052195
Consumer Defensive,300,5.710000,2052195
Industrials,300,10.410000,2052195
Consumer Cyclical,300,14.390000,2052195
Investment Grade Bond,500,91.520000,2052195
High Yield Bond,500,8.480000,2052195
USA,200,27.960000,2052196
Others,200,8.050000,2052196
Singapore,200,0.990000,2052196
Hong Kong,200,3.670000,2052196
Japan,200,6.720000,2052196
Philippines,200,1.610000,2052196
Thailand,200,1.390000,2052196
Switzerland,200,0.480000,2052196
India,200,2.230000,2052196
Spain,200,1.090000,2052196
Canada,200,2.110000,2052196
Netherlands,200,0.220000,2052196
South Korea,200,3.310000,2052196
China,200,20.020000,2052196
UK,200,3.130000,2052196
Italy,200,4.150000,2052196
Mexico,200,0.740000,2052196
France,200,3.120000,2052196
Australia,200,2.760000,2052196
Germany,200,3.880000,2052196
Indonesia,200,2.370000,2052196
Financial Services,300,18.350000,2052196
Communication Services,300,12.220000,2052196
Utilities,300,1.070000,2052196
Basic Materials,300,1.850000,2052196
Energy,300,5.260000,2052196
Technology,300,17.940000,2052196
Real Estate,300,0.380000,2052196
Healthcare,300,12.420000,2052196
Consumer Defensive,300,5.710000,2052196
Industrials,300,10.410000,2052196
Consumer Cyclical,300,14.390000,2052196
Investment Grade Bond,500,91.520000,2052196
High Yield Bond,500,8.480000,2052196
USA,200,27.960000,2052197
Others,200,8.050000,2052197
Singapore,200,0.990000,2052197
Hong Kong,200,3.670000,2052197
Japan,200,6.720000,2052197
Philippines,200,1.610000,2052197
Thailand,200,1.390000,2052197
Switzerland,200,0.480000,2052197
India,200,2.230000,2052197
Spain,200,1.090000,2052197
Canada,200,2.110000,2052197
Netherlands,200,0.220000,2052197
South Korea,200,3.310000,2052197
China,200,20.020000,2052197
UK,200,3.130000,2052197
Italy,200,4.150000,2052197
Mexico,200,0.740000,2052197
France,200,3.120000,2052197
Australia,200,2.760000,2052197
Germany,200,3.880000,2052197
Indonesia,200,2.370000,2052197
Financial Services,300,18.350000,2052197
Communication Services,300,12.220000,2052197
Utilities,300,1.070000,2052197
Basic Materials,300,1.850000,2052197
Energy,300,5.260000,2052197
Technology,300,17.940000,2052197
Real Estate,300,0.380000,2052197
Healthcare,300,12.420000,2052197
Consumer Defensive,300,5.710000,2052197
Industrials,300,10.410000,2052197
Consumer Cyclical,300,14.390000,2052197
Investment Grade Bond,500,91.520000,2052197
High Yield Bond,500,8.480000,2052197
USA,200,27.960000,2052198
Others,200,8.050000,2052198
Singapore,200,0.990000,2052198
Hong Kong,200,3.670000,2052198
Japan,200,6.720000,2052198
Philippines,200,1.610000,2052198
Thailand,200,1.390000,2052198
Switzerland,200,0.480000,2052198
India,200,2.230000,2052198
Spain,200,1.090000,2052198
Canada,200,2.110000,2052198
Netherlands,200,0.220000,2052198
South Korea,200,3.310000,2052198
China,200,20.020000,2052198
UK,200,3.130000,2052198
Italy,200,4.150000,2052198
Mexico,200,0.740000,2052198
France,200,3.120000,2052198
Australia,200,2.760000,2052198
Germany,200,3.880000,2052198
Indonesia,200,2.370000,2052198
Financial Services,300,18.350000,2052198
Communication Services,300,12.220000,2052198
Utilities,300,1.070000,2052198
Basic Materials,300,1.850000,2052198
Energy,300,5.260000,2052198
Technology,300,17.940000,2052198
Real Estate,300,0.380000,2052198
Healthcare,300,12.420000,2052198
Consumer Defensive,300,5.710000,2052198
Industrials,300,10.410000,2052198
Consumer Cyclical,300,14.390000,2052198
Investment Grade Bond,500,91.520000,2052198
High Yield Bond,500,8.480000,2052198
USA,200,27.960000,2052199
Others,200,8.050000,2052199
Singapore,200,0.990000,2052199
Hong Kong,200,3.670000,2052199
Japan,200,6.720000,2052199
Philippines,200,1.610000,2052199
Thailand,200,1.390000,2052199
Switzerland,200,0.480000,2052199
India,200,2.230000,2052199
Spain,200,1.090000,2052199
Canada,200,2.110000,2052199
Netherlands,200,0.220000,2052199
South Korea,200,3.310000,2052199
China,200,20.020000,2052199
UK,200,3.130000,2052199
Italy,200,4.150000,2052199
Mexico,200,0.740000,2052199
France,200,3.120000,2052199
Australia,200,2.760000,2052199
Germany,200,3.880000,2052199
Indonesia,200,2.370000,2052199
Financial Services,300,18.350000,2052199
Communication Services,300,12.220000,2052199
Utilities,300,1.070000,2052199
Basic Materials,300,1.850000,2052199
